cod_municipio,uf,regiao,ano,cobertura_aps,fonte
1300680,AM,Norte,2023,81.73,cobertura_aps
1300680,AM,Norte,2024,80.3,cobertura_aps
1300706,AM,Norte,2019,85.61,cobertura_ab
1300706,AM,Norte,2020,77.72,cobertura_ab
1300706,AM,Norte,2021,90.94,cobertura_aps
1300706,AM,Norte,2022,90.1,cobertura_aps
1300706,AM,Norte,2023,88.86,cobertura_aps
1300706,AM,Norte,2024,88.86,cobertura_aps
1300805,AM,Norte,2019,76.54,cobertura_ab
1300805,AM,Norte,2020,67.05,cobertura_ab
1300805,AM,Norte,2021,95.51,cobertura_aps
1300805,AM,Norte,2022,78.39,cobertura_aps
1300805,AM,Norte,2023,100.79,cobertura_aps
1300805,AM,Norte,2024,101.65,cobertura_aps
1300839,AM,Norte,2019,100.0,cobertura_ab
1300839,AM,Norte,2020,100.0,cobertura_ab
1300839,AM,Norte,2021,158.09,cobertura_aps
1300839,AM,Norte,2022,155.76,cobertura_aps
1300839,AM,Norte,2023,155.91,cobertura_aps
1300839,AM,Norte,2024,155.91,cobertura_aps
1300904,AM,Norte,2019,95.55,cobertura_ab
